ID,Response_ID,DOB,Gender,Industry,Occupation,Employees_No,Employees_No_Order,Are_You_Manager,Household,Household_Order,Experience,Experience_Order,Area,Actual_Work_Time_Remotely,Preferred_Work_Time_Remotely,Always_Preferred_Work_Time_Remotely,Would_Employer_Encourage_Remote_Work,Would_Employer_Encourage_Remote_Work_Order,Would_Employer_Support_Remote_Work,Would_Employer_Support_Remote_Work_Order,Would_Choose_Remote_Work,Would_Choose_Remote_Work_Order,Your_Productivity_Comparison,PrepareForWorkAndCommuting_At_Workplace_Hours,Work_At_Workplace_Hours,PersonalAndFamilyTime_At_Workplace_Hours,CaringAndResponsibilities_At_Workplace_Hours,PrepareForWorkAndCommuting_At_Remote_Work_Hours,Work_At_Remote_Work_Hours,PersonalAndFamilyTime_At_Remote_Work_Hours,CaringAndResponsibilities_At_Remote_Work_Hours,Biggest_Barriers,Smallest_Barriers,Year
70,70,1964,Female,Retail Trade,Professionals - ICT Professionals,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 50% - About half of my time"," 80%",Somewhat agree,4,Neither agree nor disagree,3,Strongly agree,5,More Productive By 50 %,0.5,8,3,1,0.5,9,2,3,Feeling left out and/or isolated,Connectivity (internet connection),2020
71,71,1961,Male,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 1 and 4,2,Yes,Couple with no dependent children,2,More than 5 years,3,Metro,100% - I spent all of my time remote working," 80%"," 80%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,Less Productive By 10 %,0.5,8,2,2,0,9,2,2,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",2020
72,72,1987,Female,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 30%"," 30%"," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 10 %,3,7.5,5.5,2,0,8,8,2,Feeling left out and/or isolated,Lack of motivation,2020
73,73,1959,Female,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",I am the only employee,1,No,Single person,1,More than 5 years,3,Metro," 60%"," 80%"," 90%",Somewhat disagree,2,Strongly agree,5,Strongly agree,5,More Productive By 20 %,3,8,3,2,1,9,4,2,Connectivity (internet connection),"My living situation (e.g. location, home size, who I live with)",2020
74,74,1985,Female,"Professional, Scientific and Technical Services",Professionals - ICT Professionals,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 10%"," 20%"," 50% - About half of my time",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,Level Of The Productivity Is The Same,2.5,8,2,3,0.5,9,3,5,Caring responsibilities,Lack of remote working skills,2020
75,75,1985,Female,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Couple with dependent children,4,More than 5 years,3,Metro," 90%"," 50% - About half of my time"," 60%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,More Productive By 50 %,3,8,1,3,0,6,6,4,Feeling left out and/or isolated,"My living situation (e.g. location, home size, who I live with)",2020
76,76,1992,Female,Information Media and Telecommunications,Managers - Specialist Managers,Between 5 and 19,3,Yes,Single person,1,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 40%"," 80%",Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1.5,7.5,5,0.5,0,7.5,7,0.5,Lack of motivation,Lack of motivation,2020
77,77,1961,Female,Arts and Recreation Services,Managers - Specialist Managers,I am the only employee,1,Yes,Single person,1,Between 1 and 5 years,2,Regional," 40%"," 40%"," 40%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 20 %,3,6,4,1,2,7,3,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,2020
78,78,1973,Male,Financial and Insurance Services,"Technicians and trades  - Electrotechnology and Telecommunications Trades ",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 20%"," 90%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,3,2,1,1,0,5,1,1,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Lack of remote working skills,2020
79,79,1963,Female,Information Media and Telecommunications,Managers - Specialist Managers,I am the only employee,1,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 40%"," 50% - About half of my time",Strongly agree,5,Somewhat agree,4,Strongly agree,5,Level Of The Productivity Is The Same,3,7,1,4,0.5,7,3,4,Connectivity (internet connection),Lack of motivation,2020
80,80,1968,Male,Information Media and Telecommunications,Professionals - Arts and Media Professionals,Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 30%"," 90%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 40 %,1,10,1,1,0,11,2,1,Connectivity (internet connection),Management discourages remote working,2020
81,81,1961,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 30%"," 60%"," 40%",Strongly agree,5,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 10 %,3,6,5,4,0.5,5,8,4,Lack of motivation,Poor management,2020
82,82,1968,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 5 and 19,3,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 50% - I spent about half of my time remote working"," 50% - About half of my time",100% - All of my time,Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,2.5,10,2,3,0.5,2.5,2,3,Lack of motivation,"My living situation (e.g. location, home size, who I live with)",2020
83,83,1964,Male,Public Administration and Safety,"Community and personal service  - Health and Welfare Support ",More than 200,5,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 60%",Somewhat agree,4,Somewhat agree,4,Neither agree nor disagree,3,More Productive By 10 %,1,7,15,1,0.5,7,15.5,1,Lack of motivation,Lack of motivation,2020
84,84,1969,Male,Information Media and Telecommunications,Managers - Specialist Managers,More than 200,5,No,One  parent family with dependent children,3,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 1% - 9% - Less than 10% of my time"," 70%",Neither agree nor disagree,3,Somewhat agree,4,Neither agree nor disagree,3,Level Of The Productivity Is The Same,3.5,7.6,2,3,0,7.6,4.5,4,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Feeling left out and/or isolated,2020
85,85,1968,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",More than 200,5,Yes,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 20%"," 50% - About half of my time"," 70%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,More Productive By 50 %,6,7,2,2,1,8,4,4,Management discourages remote working,Poor management,2020
86,86,1965,Male,Retail Trade,Sales  - Sales Representatives and Agents,Between 5 and 19,3,Yes,One  parent family with dependent children,3,Between 6 and 12 months,1,Metro," 30%"," 30%"," 30%",Neither agree nor disagree,3,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,10,4,2,0,10,5,2,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
87,87,1964,Male,"Electricity, Gas, Water and Waste Services","Professionals - Design, Engineering, Science and Transport Professionals",More than 200,5,No,Couple with dependent children,4,Between 1 and 5 years,2,Metro," 1% - 9% - Less than 10% of my time",100% - All of my time,100% - All of my time,Somewhat disagree,2,Strongly disagree,1,Strongly disagree,1,Less Productive By 50 %,0.2,14,3,0,0,12,3,2,I have tasks that can't be done remotely,"My living situation (e.g. location, home size, who I live with)",2020
88,88,1957,Male,Information Media and Telecommunications,Professionals - ICT Professionals,More than 200,5,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 0% - Rarely or never"," 10%"," 10%",Neither agree nor disagree,3,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 50 %,2,8,2,2,0,10,2,2,Feeling left out and/or isolated,"IT equipment (computer, printer, etc.)",2020
89,89,1970,Female,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,One  parent family with dependent children,3,More than 5 years,3,Metro," 30%"," 50% - About half of my time"," 80%",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Level Of The Productivity Is The Same,2.5,7,3,2,0.5,8,4,2,Feeling left out and/or isolated,Lack of motivation,2020
90,90,1980,Male,Manufacturing,Sales  - Sales Representatives and Agents,More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 30%"," 70%"," 60%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat disagree,2,More Productive By 30 %,1,1,2,2,0,6,3,3,Management discourages remote working,Lack of remote working skills,2020
91,91,1974,Male,Education and Training,Sales  - Sales Representatives and Agents,Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Level Of The Productivity Is The Same,1,1,1,1,1,1,1,1,Lack of motivation,Lack of motivation,2020
92,92,1960,Male,"Transport, Postal and Warehousing",Professionals - Education Professionals,More than 200,5,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 50 %,3,8,2,1,0,9,4,3,Management discourages remote working,Lack of motivation,2020
93,93,1963,Male,Financial and Insurance Services,"Managers - Chief Executives, General Managers and Legislators",Between 1 and 4,2,No,Couple with no dependent children,2,Between 1 and 5 years,2,Metro," 10%"," 10%"," 20%",Strongly disagree,1,Somewhat disagree,2,Neither agree nor disagree,3,Less Productive By 20 %,1.5,8,4,1,0.5,8,4,1,Lack of motivation,Cyber security,2020
94,94,1986,Female,Retail Trade,Sales  - Sales Assistants and Salespersons,Between 20 and 199,4,No,Other one family household,5,Between 6 and 12 months,1,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 50% - About half of my time",Somewhat agree,4,Strongly agree,5,Somewhat agree,4,Level Of The Productivity Is The Same,3,7.5,3,3,0.5,7.5,5,6,Lack of remote working skills,"My living situation (e.g. location, home size, who I live with)",2020
95,95,2000,Male,Education and Training,Professionals - Education Professionals,Between 20 and 199,4,No,Group household,7,Between 6 and 12 months,1,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 30%",Neither agree nor disagree,3,Neither agree nor disagree,3,Neither agree nor disagree,3,Less Productive By 30 %,1,6,0,0,0,0,0,0,Lack of motivation,Lack of motivation,2020
96,96,1971,Male,Wholesale Trade,Sales  - Sales Representatives and Agents,Between 5 and 19,3,No,Couple with dependent children,4,Between 1 and 5 years,2,Regional," 50% - I spent about half of my time remote working"," 20%"," 50% - About half of my time",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 10 %,2.5,8,4,2,0,8,8,2,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
97,97,1970,Female,Information Media and Telecommunications,Professionals - ICT Professionals,Between 20 and 199,4,No,Single person,1,Between 6 and 12 months,1,Metro,100% - I spent all of my time remote working,100% - All of my time,100% - All of my time,Strongly agree,5,Somewhat agree,4,Somewhat agree,4,More Productive By 10 %,1,8,4,1,0,10,2,1,Cyber security,Lack of motivation,2020
98,98,1964,Male,Retail Trade,Professionals - Education Professionals,More than 200,5,No,Single person,1,More than 5 years,3,Metro," 0% - Rarely or never"," 0% - I would not have preferred to work remotely"," 20%",Strongly agree,5,Strongly agree,5,Strongly agree,5,Less Productive By 10 %,1,9,5,2,0.25,9,4,2,Lack of motivation,Management discourages remote working,2020
99,99,1960,Female,Health Care and Social Assistance,Clerical and administrative  - Personal Assistants and Secretaries,Between 1 and 4,2,Yes,Multiple family household,6,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 10%"," 10%",Somewhat disagree,2,Somewhat disagree,2,Somewhat disagree,2,Level Of The Productivity Is The Same,1.5,9,5,2,0,9,5,2,"IT equipment (computer, printer, etc.)",Lack of motivation,2020
100,100,1962,Male,Financial and Insurance Services,"Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,Yes,Single person,1,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 50% - About half of my time"," 90%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,More Productive By 20 %,2,8,4,0,0.5,8,4,0,Difficulty collaborating remotely,Lack of motivation,2020
101,101,1974,Male,"Professional, Scientific and Technical Services",Professionals - Health Professionals,Between 20 and 199,4,No,Couple with dependent children,4,Between 6 and 12 months,1,Metro," 30%"," 20%"," 40%",Somewhat agree,4,Neither agree nor disagree,3,Somewhat agree,4,More Productive By 50 %,2,4,2,3,0.5,7,3,3,Connectivity (internet connection),Poor management,2020
102,102,1959,Male,Arts and Recreation Services,Professionals - Arts and Media Professionals,Between 1 and 4,2,Yes,Couple with no dependent children,2,More than 5 years,3,Metro," 60%"," 50% - About half of my time",100% - All of my time,Somewhat agree,4,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,8,4,2,0,6,6,2,Feeling left out and/or isolated,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
103,103,1955,Male,Public Administration and Safety,"Clerical and administrative  - Other Clerical and Administrative ",More than 200,5,No,Other one family household,5,More than 5 years,3,Metro," 10%"," 40%"," 80%",Strongly agree,5,Strongly agree,5,Strongly agree,5,More Productive By 50 %,1,5,18,0,2,8,14,0,Connectivity (internet connection),"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",2020
104,104,1960,Male,"Professional, Scientific and Technical Services","Managers - Chief Executives, General Managers and Legislators",Between 20 and 199,4,No,Couple with no dependent children,2,More than 5 years,3,Metro," 90%"," 90%"," 80%",Somewhat disagree,2,Strongly agree,5,Somewhat agree,4,More Productive By 20 %,2,7,4,1,0,7,5.5,1.5,Difficulty collaborating remotely,Caring responsibilities,2020
105,105,1961,Male,"Professional, Scientific and Technical Services","Professionals - Business, Human Resource and Marketing Professionals",More than 200,5,No,Couple with dependent children,4,More than 5 years,3,Metro," 1% - 9% - Less than 10% of my time"," 20%"," 20%",Somewhat disagree,2,Neither agree nor disagree,3,Somewhat agree,4,Level Of The Productivity Is The Same,2,6,1,1,0.5,7,2,2,"My workspace (e.g. suitable chair, lighting, noise levels, facilities)",Management discourages remote working,2020
106,106,1959,Male,Financial and Insurance Services,"Professionals - Business, Human Resource and Marketing Professionals",Between 5 and 19,3,Yes,Couple with dependent children,4,More than 5 years,3,Metro," 70%"," 40%"," 40%",Somewhat agree,4,Somewhat agree,4,Somewhat agree,4,Level Of The Productivity Is The Same,1,8,4,3,0,9,4,3,Feeling left out and/or isolated,My organisation's software and systems,2020
